Date,Fallacy,Label,Subcategory,Context,fix,strategy,fixed_context
1960,who threatens the peace? Who threatens freedom in the world?,AppealtoEmotion,Appeal to fear,How can we extend freedom - extend it without war? who threatens the peace? Who threatens freedom in the world? There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement.,,Removing emotional snippet,How can we extend freedom - extend it without war?  There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement.
1996,Franklin Roosevelt said in 1932 that the only thing we have to fear is fear itself.,AppealtoEmotion,Appeal to fear,"I mean, Al, get real. Franklin Roosevelt said in 1932 that the only thing we have to fear is fear itself. The only thing, Jim, they have to offer is fear.",,Removing emotional snippet,"I mean, Al, get real.  The only thing, Jim, they have to offer is fear."
2004,"I think if you raise taxes during a recession, you head to depression.",AppealtoEmotion,Appeal to fear,"Everybody got tax relief, so that they get out of the recession. I think if you raise taxes during a recession, you head to depression. I come from the school of thought that says when people have more money in their pocket during economic times, it increases demand or investment.",,Removing emotional snippet,"Everybody got tax relief, so that they get out of the recession.  I come from the school of thought that says when people have more money in their pocket during economic times, it increases demand or investment."
1996,"But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro - choice and pro - life position -- we have a President who vetoed a congressional ban on the ugly and gruesome practice of snatching life away from a child just moments before he or she enters the world. That is unacceptable.",AppealtoEmotion,Appeal to pity,"And to think that in this country, for every three births, there is one abortion. But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro - choice and pro - life position -- we have a President who vetoed a congressional ban on the ugly and gruesome practice of snatching life away from a child just moments before he or she enters the world. That is unacceptable. President Clinton has made it clear that he will sign legislation outlawing procedures such as this if there is a -- an exception to protect the health of the mother where serious health consequences, such as the inability to have any further children, are involved and her doctor advises her so.",We have a President who vetoed a congressional ban on the ugly and gruesome practice of aborting.,Generalizing + weakening + removing emotional snippet,"And to think that in this country, for every three births, there is one abortion. We have a President who vetoed a congressional ban on the ugly and gruesome practice of aborting. President Clinton has made it clear that he will sign legislation outlawing procedures such as this if there is a -- an exception to protect the health of the mother where serious health consequences, such as the inability to have any further children, are involved and her doctor advises her so."
1976,"We've got a - a sharp distinction drawn between white collar crime - the - the - the big shots who are rich, who are influential uh very seldom go to jail; those who are poor and - and who have uh no influence - uh quite often are the ones who are punished.",AppealtoEmotion,Appeal to pity,"But I think that now is the time to heal our country after the Vietnam War and I think that what the people are concerned about is not the - uh pardon or the amnesty of uh - those who evaded the draft, but - but whether or not our crime system is - is fair. We've got a - a sharp distinction drawn between white collar crime - the - the - the big shots who are rich, who are influential uh very seldom go to jail; those who are poor and - and who have uh no influence - uh quite often are the ones who are punished. And - and the whole uh subject of crime is one that concerns our people very much, and I believe that the fairness of it is - is what - uh - is a - is a major problem that addresses our - our leader and this is something that hasn't been addressed adequately by - by this administration.",We've got a - a sharp distinction drawn between white collar crime and who have no influence - uh quite often are the ones who are punished.,Removing additional information,"But I think that now is the time to heal our country after the Vietnam War and I think that what the people are concerned about is not the - uh pardon or the amnesty of uh - those who evaded the draft, but - but whether or not our crime system is - is fair. We've got a - a sharp distinction drawn between white collar crime and who have no influence - uh quite often are the ones who are punished. And - and the whole uh subject of crime is one that concerns our people very much, and I believe that the fairness of it is - is what - uh - is a - is a major problem that addresses our - our leader and this is something that hasn't been addressed adequately by - by this administration."
2004,"I've met kids in Ohio, parents in Wisconsin places, Iowa, where they're going out on the Internet to get the state - of - the - art body gear to send to their kids. Some of them got it for a birthday present.",AppealtoEmotion,Appeal to pity,"You don't send troops to war without the body armor that they need. I've met kids in Ohio, parents in Wisconsin places, Iowa, where they're going out on the Internet to get the state - of - the - art body gear to send to their kids. Some of them got it for a birthday present. I think that's wrong.",,Removing additional information,You don't send troops to war without the body armor that they need.  I think that's wrong.
2008,"And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet.",AppealtoEmotion,Appeal to pity,"For many of you, it is getting harder and harder to save, harder and harder to retire. And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet. Senator McCain is right that we've got to stabilize housing prices.","And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans.",Removing additional information,"For many of you, it is getting harder and harder to save, harder and harder to retire. And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans. Senator McCain is right that we've got to stabilize housing prices."
2000,We've graduated 15 million kids from high school in the last few years who can't read at a significant level. They are permanently sentenced to a lifetime of failure.,AppealtoEmotion,Appeal to pity,"If you look at it and think about it, we now have in our most disadvantaged communities, 70% of our fourth graders can't read at the basic level of understanding. We've graduated 15 million kids from high school in the last few years who can't read at a significant level. They are permanently sentenced to a lifetime of failure. What we want to do is to change that.",There will be problem in the future.,Generalizing + weakening + removing emotional snippet,"If you look at it and think about it, we now have in our most disadvantaged communities, 70% of our fourth graders can't read at the basic level of understanding. There will be problem in the future. What we want to do is to change that."
1992,"I've had more people talk to me about their health care problems I guess than anything else, all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children.",AppealtoEmotion,Appeal to pity,"I've had more people talk to me about their health care problems I guess than anything else, all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children. So let me try to answer you in this way.",I've had more people talk to me about their many problems of their lives.,Generalizing + weakening + removing emotional snippet,I've had more people talk to me about their many problems of their lives. So let me try to answer you in this way.
1996,"Now, I want to congratulate Mr. Kemp for being a lonely voice in the Republican party over the years on this question. It is -- it is with some sadness that I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action.",AppealtoEmotion,Appeal to pity,"We are seeking to have vigorous enforcement of the laws that bar discrimination. Now, I want to congratulate Mr. Kemp for being a lonely voice in the Republican party over the years on this question. It is -- it is with some sadness that I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action. That's not good for our country.","Now, I want to congratulate Mr. Kemp. I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action.",Generalizing + weakening + removing emotional snippet,"We are seeking to have vigorous enforcement of the laws that bar discrimination. Now, I want to congratulate Mr. Kemp. I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action. That's not good for our country."
2000,People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital.,AppealtoEmotion,Appeal to pity,And you're absolutely right. People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital. I've seen it done differently though.,,Removing emotional snippet,And you're absolutely right.  I've seen it done differently though.
2004,"I've met people who struggled with this for years, people who were in a marriage because they were living a sort of convention, and they struggled with it.",AppealtoEmotion,Appeal to pity,"I think if you talk to anybody, it's not choice. I've met people who struggled with this for years, people who were in a marriage because they were living a sort of convention, and they struggled with it. And I've met wives who are supportive of their husbands or vice versa when they finally sort of broke out and allowed themselves to live who they were, who they felt God had made them.",I've met people who had issues for years.,Generalizing + weakening,"I think if you talk to anybody, it's not choice. I've met people who had issues for years. And I've met wives who are supportive of their husbands or vice versa when they finally sort of broke out and allowed themselves to live who they were, who they felt God had made them."
1980,"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",AppealtoEmotion,Appeal to pity,"And good management in preserving the peace requires that we control the events and try to intercept before they become a crisis. I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe. Mr. Stone, I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford - along with the cuts that I have proposed in Government.",I have seen four wars in my lifetime.,Removing additional information,"And good management in preserving the peace requires that we control the events and try to intercept before they become a crisis. I have seen four wars in my lifetime. Mr. Stone, I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford - along with the cuts that I have proposed in Government."
1996,That is morally and socially unacceptable in a modern day economy.,AppealtoEmotion,Appeal to pity,"There's jobs that are not being created, and the unemployment rate in our nations' inner cities is somewhere between 16 and 25 percent. That is morally and socially unacceptable in a modern day economy. President Bill Clinton promised to create 8 million jobs.",,Removing emotional snippet,"There's jobs that are not being created, and the unemployment rate in our nations' inner cities is somewhere between 16 and 25 percent.  President Bill Clinton promised to create 8 million jobs."
1980,"And as a result, the families of some of our young servicemen are on food stamps today.",AppealtoEmotion,Appeal to pity,"And today, on the average, the average serviceman is at least 15% - and I happen to think that's a very modest estimate - 15% below what has happened to the cost of living over that period of time. And as a result, the families of some of our young servicemen are on food stamps today. And I think that's shocking; it's shameful.","And as a result, the families of some of our young servicemen have economic problems.",Generalizing + weakening,"And today, on the average, the average serviceman is at least 15% - and I happen to think that's a very modest estimate - 15% below what has happened to the cost of living over that period of time. And as a result, the families of some of our young servicemen have economic problems. And I think that's shocking; it's shameful."
1984,"I demanded an apology from Vice President Bush because I had, instead, honored these young men, grieved for their families, and think they were wonderful Americans that honored us all.",AppealtoEmotion,Appeal to pity,"In the last debate,\1\ (FOOTNOTE) the Vice President of the United States said that I said the marines had died shamefully and died in shame in Lebanon. I demanded an apology from Vice President Bush because I had, instead, honored these young men, grieved for their families, and think they were wonderful Americans that honored us all. What does the President have to say about taking responsibility for a Vice President who won't apologize for something like that?",I demanded an apology from Vice President Bush because I they honored us all.,Generalizing + weakening + removing emotional snippet,"In the last debate,\1\ (FOOTNOTE) the Vice President of the United States said that I said the marines had died shamefully and died in shame in Lebanon. I demanded an apology from Vice President Bush because I they honored us all. What does the President have to say about taking responsibility for a Vice President who won't apologize for something like that?"
2000,My uncle was a victim of poisonous gas there.,AppealtoEmotion,Appeal to pity,"Look, that's where World War I started in the Balkans. My uncle was a victim of poisonous gas there. Millions of Americans saw the results of that conflict.",,Removing additional information,"Look, that's where World War I started in the Balkans.  Millions of Americans saw the results of that conflict."
1992,"And I read in the bulletin about teenage pregnancies, about the difficulties that families are having to make ends meet. I talk to parents. I mean, you've got to care. Everybody cares if people aren't doing well.",AppealtoEmotion,Appeal to pity,"It's a black church just outside of Washington, DC. And I read in the bulletin about teenage pregnancies, about the difficulties that families are having to make ends meet. I talk to parents. I mean, you've got to care. Everybody cares if people aren't doing well. But I don't think it's fair to say, you haven't had cancer.",And I read in the bulletin about many difficuties.,Generalizing + weakening + removing emotional snippet,"It's a black church just outside of Washington, DC. And I read in the bulletin about many difficuties. But I don't think it's fair to say, you haven't had cancer."
1992,I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age. And looking back on that she said it was a mistake.,AppealtoEmotion,Appeal to pity,"Something like a 24-hour waiting period, parental notification. I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age. And looking back on that she said it was a mistake. She said -- she said I wished at that time, that I was going through this difficult time, that I had counseling to talk about the post - abortion trauma, and talk about adoption rather than abortion.",I was in Los Angeles recently and I talked to a woman who had an abortion.,Removing additional information,"Something like a 24-hour waiting period, parental notification. I was in Los Angeles recently and I talked to a woman who had an abortion. She said -- she said I wished at that time, that I was going through this difficult time, that I had counseling to talk about the post - abortion trauma, and talk about adoption rather than abortion."
2000,"And as for singling people out because of race, you know, James Byrd was singled out because of his race in Texas.",AppealtoEmotion,Appeal to pity,"And I think that racial profiling is part of a larger issue of how we deal with race in America. And as for singling people out because of race, you know, James Byrd was singled out because of his race in Texas. And other Americans have been singled out because of their race or ethnicity.",,Removing additional information,And I think that racial profiling is part of a larger issue of how we deal with race in America.  And other Americans have been singled out because of their race or ethnicity.
1996,"I had a person in the Oval Office who lost a child in a school bus accident where a drunk driver caused the accident directly, but there were problems with the school bus. The drunk driver had no money. Under the new bill, if I had signed it, a person like that could never have had any recovery. I thought that was wrong.",AppealtoEmotion,Appeal to pity,"Now, let me just give you an example. I had a person in the Oval Office who lost a child in a school bus accident where a drunk driver caused the accident directly, but there were problems with the school bus. The drunk driver had no money. Under the new bill, if I had signed it, a person like that could never have had any recovery. I thought that was wrong. So I gave four or five specific examples to the Congress and said, prove to me that these people could recover but we're going to eliminate frivolous lawsuits, I'll sign the bill.","I had a person in the Oval Office who lost a child in a school bus accident. Under the new bill, if I had signed it, a person like that could never have had any recovery. I thought that was wrong.",Removing additional information,"Now, let me just give you an example. I had a person in the Oval Office who lost a child in a school bus accident. Under the new bill, if I had signed it, a person like that could never have had any recovery. I thought that was wrong. So I gave four or five specific examples to the Congress and said, prove to me that these people could recover but we're going to eliminate frivolous lawsuits, I'll sign the bill."
1996,I think of the man who grabbed me by the shoulder once with tears in his eyes and said his daughter was dying of cancer and he thanked me for giving him a chance to spend some time with her without losing his job because of the Family and Medical Leave Act.,AppealtoEmotion,Appeal to pity,And I think what others could do for our country and themselves if we did the welfare reform thing in the proper way. I think of the man who grabbed me by the shoulder once with tears in his eyes and said his daughter was dying of cancer and he thanked me for giving him a chance to spend some time with her without losing his job because of the Family and Medical Leave Act. I think of all the people I grew up with and went to school with and who I stay in touch with and who nerve let me forget how what we do in Washington affects all of you out there in America.,I think of the man who thanked me for giving him a chance to spend some time with her daughter that had cancer without losing his job because of the Family and Medical Leave Act.,Removing additional information,And I think what others could do for our country and themselves if we did the welfare reform thing in the proper way. I think of the man who thanked me for giving him a chance to spend some time with her daughter that had cancer without losing his job because of the Family and Medical Leave Act. I think of all the people I grew up with and went to school with and who I stay in touch with and who nerve let me forget how what we do in Washington affects all of you out there in America.
1992,And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately.,AppealtoEmotion,Appeal to pity,"Now, what it really boils down to is can you live -- we become so preoccupied with the rights of the criminal that we've forgotten the rights of the innocent. And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately. That's where we are.",And in our country we have evolved to a point where we've put millions of innocent people in jail because of their disperate conditions.,Generalizing + weakening + removing additional information,"Now, what it really boils down to is can you live -- we become so preoccupied with the rights of the criminal that we've forgotten the rights of the innocent. And in our country we have evolved to a point where we've put millions of innocent people in jail because of their disperate conditions. That's where we are."
1960,"we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night",AppealtoEmotion,Appeal to pity,"Third, I would say this with regard to this report, with regard to Gallup Polls of prestige abroad and everything else that we've been hearing about ""what about American prestige abroad"": America's prestige abroad will be just as high as the spokesmen for America allow it to be. Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty - eight to eight - we've had twenty - eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night; when he makes statements like this, what does this do to American prestige? Well, it can only have the effect certainly of reducing it.","we have problems of overcrowding, poverty and education",Generalizing + weakening + removing additional information,"Third, I would say this with regard to this report, with regard to Gallup Polls of prestige abroad and everything else that we've been hearing about ""what about American prestige abroad"": America's prestige abroad will be just as high as the spokesmen for America allow it to be. Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty - eight to eight - we've had twenty - eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have problems of overcrowding, poverty and education; when he makes statements like this, what does this do to American prestige? Well, it can only have the effect certainly of reducing it."
1996,"So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met.",AppealtoEmotion,Appeal to pity,"That was certainly the case from the minute I got there. So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met. And then Senator Dole's ardent supporters, Senator McCain, who's out there today, along with Senator Feingold, supported, sponsored a campaign finance reform proposal.","So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and I appointed my members. The commission never met.",Removing additional information,"That was certainly the case from the minute I got there. So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and I appointed my members. The commission never met. And then Senator Dole's ardent supporters, Senator McCain, who's out there today, along with Senator Feingold, supported, sponsored a campaign finance reform proposal."
1960,"When you are proud and confident of your strength, you do not get down to the level of Mr. Khrushchev and his colleagues.",AppealtoEmotion,Appeal to pity,"Firmness but no belligerence, and by no belligerence I mean that we do not answer insult by insult. When you are proud and confident of your strength, you do not get down to the level of Mr. Khrushchev and his colleagues. And that example that President Eisenhower has set we will continue to follow.",,Removing additional information,"Firmness but no belligerence, and by no belligerence I mean that we do not answer insult by insult.  And that example that President Eisenhower has set we will continue to follow."
2004,"I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles. They didn't have the right body armor.",AppealtoEmotion,Appeal to pity,"Ten thousand out of 12,000 Humvees aren't armored. I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles. They didn't have the right body armor. I've met parents who've on the Internet gotten the armor to send their kids.",,Removing additional information,"Ten thousand out of 12,000 Humvees aren't armored.  I've met parents who've on the Internet gotten the armor to send their kids."
1984,And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,AppealtoEmotion,Appeal to pity,"Certainly we can find a coffeepot that costs something less than $7,000. And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life. And that's why the Congress, including the Republicans, have not gone along with the President's recommendations.",,Removing emotional snippet,"Certainly we can find a coffeepot that costs something less than $7,000.  And that's why the Congress, including the Republicans, have not gone along with the President's recommendations."
1976,That is a very serious indictment of this administration. It's probably the worst one of all.,AppealtoEmotion,Appeal to pity,"And we've probably got two and a half more million people who are not looking for jobs any more, because they've given up hope. That is a very serious indictment of this administration. It's probably the worst one of all.",,Removing emotional snippet,"And we've probably got two and a half more million people who are not looking for jobs any more, because they've given up hope. "
2008,"First of all, I won't repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region.",AppealtoEmotion,Appeal to pity,"And until we do, Americans here at home are not going to be safe. First of all, I won't repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region. And the result over time was the Taliban, Al Qaida, and a lot of the difficulties we are facing today.","First of all, I won't repeat the mistake that I regret enormously.",Removing additional information,"And until we do, Americans here at home are not going to be safe. First of all, I won't repeat the mistake that I regret enormously. And the result over time was the Taliban, Al Qaida, and a lot of the difficulties we are facing today."
1988,"I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. We're providing that young woman with help.",AppealtoEmotion,Appeal to pity,"Governors like me and others have been trying to deal with the consequences. I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. We're providing that young woman with help. But I want to be a president of the United States who makes sure that we never again do business with a drug - running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers.","I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, asking for help.",Removing additional information,"Governors like me and others have been trying to deal with the consequences. I remember being in a high school in my own state as we were organizing something we call the Governor's Alliance Against Drugs, and a young 16 year old girl coming up to me, asking for help. But I want to be a president of the United States who makes sure that we never again do business with a drug - running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers."
2016,"Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.",AppealtoEmotion,Appeal to pity,"We have literally Trump—you can fact check him in real time. Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country. Because you’d be in jail.","Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking.",Removing additional information,"We have literally Trump—you can fact check him in real time. Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking. Because you’d be in jail."
2000,The fact is the Medicare problems have not been addressed. We have had eight years of problems with prescription drugs not being addressed. Social Security problem 's not been addressed. The educational problem has not been addressed. We 've had eight years of talk but no action.,AppealtoEmotion,Appeal to pity,"With all due respect, Joe, there's an awful lot of evidence that there hasn't been any bipartisan leadership out of this administration or Al Gore. The fact is the Medicare problems have not been addressed. We have had eight years of problems with prescription drugs not being addressed. Social Security problem 's not been addressed. The educational problem has not been addressed. We 've had eight years of talk but no action. They've been in a position of responsibility in the White House.",The fact is the Medicare problems have not been addressed. No action in eight years.,Removing additional information,"With all due respect, Joe, there's an awful lot of evidence that there hasn't been any bipartisan leadership out of this administration or Al Gore. The fact is the Medicare problems have not been addressed. No action in eight years. They've been in a position of responsibility in the White House."
1960,"I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans",AppealtoEmotion,Appeal to pity,"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual. I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans. I'm not satisfied when the Soviet Union is turning out twice as many scientists and engineers as we are.","I saw cases in West Virginia, here in the United States, with many povery problems.",Removing additional information,"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual. I saw cases in West Virginia, here in the United States, with many povery problems.. I'm not satisfied when the Soviet Union is turning out twice as many scientists and engineers as we are."
1988,"I was in Houston on Tuesday meeting with a group of good citizens, working citizens. All of them with little or no health insurance. One of them was a father who had been laid off a few months ago and lost his health insurance. Has an 11 year old son and can't let that son compete in sports and Little League, because he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills.",AppealtoEmotion,Appeal to pity,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night. I was in Houston on Tuesday meeting with a group of good citizens, working citizens. All of them with little or no health insurance. One of them was a father who had been laid off a few months ago and lost his health insurance. Has an 11 year old son and can't let that son compete in sports and Little League, because he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills. My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.",,Removing additional information,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.  My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state."
1992,I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure.,AppealtoEmotion,Appeal to pity,I'd like to use this closing statement to talk to you about a few people that I have met in these last 4 years. I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure. And that's why we support choice in education.,I think of a woman in Chicago when I was talking to parents about education where she complained about that educational system.,Generalizing + weakening,I'd like to use this closing statement to talk to you about a few people that I have met in these last 4 years. I think of a woman in Chicago when I was talking to parents about education where she complained about that educational system. And that's why we support choice in education.
1960,I know what it means to be poor,AppealtoEmotion,Appeal to pity,Let us understand throughout this campaign that his motives and mine are sincere. I know what it means to be poor. I know what it means to see people who are unemployed.,,Removing additional information,Let us understand throughout this campaign that his motives and mine are sincere. . I know what it means to see people who are unemployed.
1976,"Our tax structure is a disgrace, it needs to be reformed.",AppealtoEmotion,Appeal to pity,"And I believe we require someone who can work harmoniously with the Congress, who can work closely with the people of this country, and who can bring a new image and a new spirit to Washington. Our tax structure is a disgrace, it needs to be reformed. I was Governor of Georgia for four years.",Our tax structure needs a change.,Generalizing + weakening,"And I believe we require someone who can work harmoniously with the Congress, who can work closely with the people of this country, and who can bring a new image and a new spirit to Washington. Our tax structure needs a change. I was Governor of Georgia for four years."
2016,I've heard from so many of you about the difficult choices you face and the stresses that you're under.,AppealtoEmotion,Appeal to pity,"And I want us to do more to support people who are struggling to balance family and work. I've heard from so many of you about the difficult choices you face and the stresses that you're under. So let's have paid family leave, earned sick days.",,Removing additional information,"And I want us to do more to support people who are struggling to balance family and work.  So let's have paid family leave, earned sick days."
2012,But there were a lot of families who didn't have that good fortune and whose sons or daughters or husbands didn't survive.,AppealtoEmotion,Appeal to pity,"And we spent some time, and we said a prayer and, remarkably, about two months later, this young man and his mom showed up, and he looked unbelievable, good as new. But there were a lot of families who didn't have that good fortune and whose sons or daughters or husbands didn't survive. So my belief is that, (A), we have to enforce the laws we've already got, make sure that we're keeping guns out of the hands of criminals, those who are mentally ill. We've done a much better job in terms of background checks, but we've got more to do when it comes to enforcement.",,Removing emotional snippet,"And we spent some time, and we said a prayer and, remarkably, about two months later, this young man and his mom showed up, and he looked unbelievable, good as new.  So my belief is that, (A), we have to enforce the laws we've already got, make sure that we're keeping guns out of the hands of criminals, those who are mentally ill. We've done a much better job in terms of background checks, but we've got more to do when it comes to enforcement."
1996,"Prime Minister Rabin gave his life because someone in his own country literally hated him for trying to bring peace. I would like to have had a big, organized summit, but those people were killing each other, rapidly, innocent Arab children, innocent Israeli people, they were dying.",AppealtoEmotion,Appeal to pity,"There are extremists in all parts of the Middle East who want to kill that peace process. Prime Minister Rabin gave his life because someone in his own country literally hated him for trying to bring peace. I would like to have had a big, organized summit, but those people were killing each other, rapidly, innocent Arab children, innocent Israeli people, they were dying. And there is ,so much trust has broken down in the aftermath of the change of government.",,Removing additional information,"There are extremists in all parts of the Middle East who want to kill that peace process.  And there is ,so much trust has broken down in the aftermath of the change of government."
2000,"She gets a small pension, but in order to pay for her prescription drug benefits, she has to go out seven days a week several hours a day picking up cans",AppealtoEmotion,Appeal to pity,"I'm not going to cut her benefits or support any proposal that would. She gets a small pension, but in order to pay for her prescription drug benefits, she has to go out seven days a week several hours a day picking up cans. She came all the way from Iowa in a Winnebago with her poodle in order attend here tonight.",,Removing additional information,I'm not going to cut her benefits or support any proposal that would. . She came all the way from Iowa in a Winnebago with her poodle in order attend here tonight.
