starting,fixed
"We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way.",The military forces are strong.
"Maryland would not extradite Willie Horton, the man who was furloughed, the murderer, because they didn't want him to be furloughed again.","People would not extradite Willie Horton, because they didn't want him to be furloughed again."
I believe that there is enough extravagance and fat in government.,The actual government is using a lot of extra money.
"To be president of this country, you need tremendous stamina.","To be president of this country, you need a lot of  stamina."
"And it would also be very disturbing to our allies, all of whom support this nuclear arms treaty.","And our allies would not appreciate that, all of whom support this nuclear arms treaty."
That deficit is ruining the long - term hopes for this economy.,That deficit is damaging the long - term hopes for this economy.
"Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time.","Well, all that I can suggest is that all the experts who have studied the program indicate that it is a bad program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time."
"The biggest tax increase in history. The biggest crime increase in history, the biggest drug increase in history in Arkansas.",Arkansas has got many troubles.
"That’s why—to go back to your question—I want to send a message—we all should—to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.","The goodness, the respect, the work and diversity are important values."
You've already spent $45 million scaring seniors and tearing me apart.,You've already spent $45 million scaring seniors and shattering me.
What the vice president has just said is just a complete distortion.,What the vice president has just said is just wrong..
"When I was in a rope line just the other day, coming out here from Wisconsin, a couple of young returnees were in the line, one active duty, one from the Guard. And they both looked at me and said: We need you. You've got to help us over there.",People from Wisconsin has troubles over there.
"It is unAmerican, and to think that in the 21st Century this kind of nonsense is still going on.","It's not common, and to think that in the 21st Century this kind of nonsense is still going on."
"It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans. And what he has said about African - Americans and Latinos, about Muslims, about POWs, about immigrants, about people with disabilities, he’s never apologized for.","It’s with his campaign that he has run, he’s never apologized for."
"There are children suffering in this catastrophic war, largely, I believe, because of Russian aggression.","There are children suffering in this war, largely, I believe, because of Russian aggression."
Think about it: They're going from tyranny to elections.,Think about it: They're changing their behaviour.
"Well, Gwen, the 90 percent figure is just dead wrong.","Well, Gwen, the 90 percent figure is just completely wrong."
That is disgrace.,That is bad.
I signed a bill to stop these drive - by deliveries when insurance companies can force people out of the hospital after 24 hours and I vetoed Senator Dole's Medicare plan that would have forced a lot of seniors into managed care and taken a lot more money out of their pockets and led to Medicare withering on the vine.,I signed a bill to stop these drive - by deliveries when insurance companies can force people out of the hospital after 24 hours and I vetoed Senator Dole's Medicare plan that would have forced a lot of seniors into managed care and taken a lot more money out of their pockets and led to Medicare degenerating.
It is—our country has the slowest growth and jobs are a disaster.,The growth is slow and there's a bad situation for the jobs.
"There is no question but that this nation cannot stand still; because we are in a deadly competition, a competition not only with the men in the Kremlin, but the men in Peking.","There is no question but that this nation cannot stand still; because we are in a competition, a competition not only with the men in the Kremlin, but the men in Peking. We're ahead in this competition, as Senator Kennedy, I think, has implied."
"I've talked to bankers and builders and developers, the housing advocates, community development agencies, and they want leadership from Washington.",People want leadership from Washington.
She’s done a terrible job for the African - Americans.,She’s done a bad job for the African - Americans.
"President Bill Clinton showed tremendous courage, vision, wisdom, and leadership in having our country take the lead in rallying our allies, bringing the warring factions together in Dayton, Ohio, and hammering out a peace agreement that has ended the war in Bosnia.","President Bill Clinton showed a lot of courage, vision, wisdom, and leadership in having our country take the lead in rallying our allies, bringing the warring factions together in Dayton, Ohio, and hammering out a peace agreement that has ended the war in Bosnia."
"He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching.","He never apologized to the federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching."
"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.","There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are saturing the Nation with cheap imports."
But don't just sit here slow dancing for 4 years doing nothing.,Try to do something instead to be still.
"And you guys have been having a hard time, and I want to fight for you.",It's been having hard time.
"It is a disastrous plan, and it has to be repealed and replaced.",The plan has to be repealed and replaced.
And it's time we had that bresh of freth air (sic) -- breath of fresh air coming into our nation's capital and sweep out the old - boy network and the cronyism that's been so much a part of it that I've fought against for all these years.,And it's time we had that bresh of freth air (sic) -- breath of fresh air coming into our nation's capital and sweep out the previous generation and the cronyism that's been so much a part of it that I've fought against for all these years.
"What we do is work on that budget by an aggressive program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again.","What we do is work on that budget by an aggressive program, not bad program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again."
"I believe America's best days are ahead of us. I'm an optimist, but we have to make the right choices, to be fiscally responsible and to create the new jobs of the future.",Right choiches are necessary to be fiscally responsible and to create the new jobs of the future.
"It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the very brutal kinds of comments about not just women, but all Americans, all kinds of Americans.","It’s with him and with the hateful and divisive campaign that he has run, and the inciting of violence at his rallies, and the bad comments about not just women, but all Americans, all kinds of Americans."
He would actually have to cut Government spending by at least $130 billion in order to balance the budget under this ridiculous proposal.,He would actually have to cut Government spending by at least $130 billion in order to balance the budget under this proposal.
"Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.","Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s good that someone with the temperament of Donald Trump is not in charge of the law in our country."
"And I have a plan that will take the catastrophic cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable.","And I have a plan that will take the unfortunate cases out of the system, off your backs, pay for it out of a federal fund, which lowers the premiums for everybody in America, makes American business more competitive and makes health care more affordable."
"It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.","It's very slow, compared to other industries here in America."
That's not wishy- washy.,It's not banal.
You get a catastrophic plan to help you on it.,You get It's a bad idea to help you on it.
You know the Japanese are breathing down our necks on this.,Japan is very close to us.
"Well, this has been a tough campaign. It's been a very tough campaign.","Well, this has been a tough campaign."
"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention.","I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the program of enforcement as well as drug education prevention."
"Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less.","Since then, he has charged the people for inflation, OPEC, he has charged the Federal Reserve system, he has charged the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less."
"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.","Thirdly, in Bosnia there is no more war and there's an election now."
"I don't say that -- So I think that should be eyed with great suspicion, people that are really kicking the props out from under our grand military establishment prematurely.","I don't say that -- So I think that should be eyed with a major attention, people that are really kicking the props out from under our grand military establishment prematurely."
It’s also very short - sighted and even dangerous to be engaging in the kind of demagogic rhetoric that Donald has about Muslims.,It’s also very short - sighted and even dangerous to be engaging in thoughts that Donald has about Muslims.
I care about 100 percent of the American people. I want 100 percent of the American people to have a bright and prosperous future.,I want there to be a bright and prosperous future.
"So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met.","So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and I appointed my members. The commission never met."
There's too much bitterness in Washington. There's too much wrangling.,There's chaos in Washington.
"The position of the United States has been that this build - up, in the words of the president, has been foolish.","The position of the United States has been that this build - up, in the words of the president, has been irrational."
"Number three, we've got to deal with Pakistan, because Al Qaida and the Taliban have safe havens in Pakistan, across the border in the northwest regions, and although, you know, under George Bush, with the support of Senator McCain, we've been giving them $10 billion over the last seven years, they have not done what needs to be done to get rid of those safe havens.","Number three, we've got to deal with Pakistan, because Al Qaida and the Taliban have safe havens in Pakistan, across the border in the northwest regions, and although, you know, under George Bush, with the support of Senator McCain, we've been giving them $10 billion over the last seven years, they have not done what needs to be done to get rid of those safe shelters."
"Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty - eight to eight - we've had twenty - eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night; when he makes statements like this, what does this do to American prestige?","Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty - eight to eight - we've had twenty - eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have problems of overcrowding, poverty and education; when he makes statements like this, what does this do to American prestige?"
To help local school districts build new buildings so our children are not learning in crumbling classrooms.,To help local school districts build new buildings so our children are not learning in bad classrooms.
"We know freedom is a powerful, powerful, powerful force, much bigger than the United States of America, as we saw recently in the Balkans.",We know freedom is a robust force.
"Peter, it's one of the most agonizing decisions a president has to make.","Peter, it's one of the most difficult decisions a president has to make."
"It looks like a bombed - out city - great, gaunt skeletons of buildings. Windows smashed out, painted on one of them ""Unkept promises;"" on another, ""Despair.""",It looks like a bombed - out city.
"I want to do things that haven’t been done, including fixing and making our inner cities better for the African - American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it. It’s called make America great again.",I want to fix and make inner cities better.
"I've met people who struggled with this for years, people who were in a marriage because they were living a sort of convention, and they struggled with it.",I've met people who had issues for years.
"Has made him a part of our foreign policy and has been funneling aid to Contras through convicted drug dealers.â‰¤ I think those are very very serious questions of judgment, which those of you who are watching us here tonight have a right to judge and review.",Has made him a part of our foreign policy and has been funneling aid to Contras through convicted drug dealers.â‰¤ I think those are very very serious questions of judgment.
"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.","There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have reduced exports and are swamping the Nation with cheap imports."
"So when you look at the penalty that he paid, and when you analyze the requirements that I had - to spend all of my time working on the economy, which was in trouble, that I inherited; working on our problems in Southeast Asia - which were still plaguing us - it seemed to me that Mr. Nixon had been penalized enough by his resignation in disgrace and the need, and necessity for me to concentrate on the problems of the country fully justified the action that I took.","So when you look at the penalty that he paid, and when you analyze the requirements that I had - to spend all of my time working on the economy, which was in trouble, that I inherited; working on our problems in Southeast Asia - which were still afflicting us - it seemed to me that Mr. Nixon had been penalized enough by his resignation in disgrace and the need, and necessity for me to concentrate on the problems of the country fully justified the action that I took."
First let me talk about that joke about religion which I found very distasteful.,First let me talk about that joke about religion which I found inopportune.
"I've worked on the food stamp program, proudly.",One topic was the food stamp program.
"But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you acid washed, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing.","But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e - mails that you deleted, and that you handled in your own way, and then the two boxes of e - mails and other things last week that were taken from an office and are now missing."
And I think it's a disgrace that so far Mr. Ford's administration has blocked the passage of legislation that would've revealed by law every instance of the boycott and it would've prevented the boycott from continuing.,And I think it's a shame that so far Mr. Ford's administration has blocked the passage of legislation that would've revealed by law every instance of the boycott and it would've prevented the boycott from continuing.
"Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less.","Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then complained about the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less."
"In all those elements, Governor Reagan has repeatedly spoken out against them, which, to me, shows a very great insensitivity to giving deprived families a better chance in life.","In all those elements, Governor Reagan has repeatedly spoken out against them, which, to me, shows disinterest to giving deprived families a better chance in life."
Because you’d be in jail.,Because you shouldn't be here.
"And because we're going to move in sixty - one and two, partly because we have not maintained our strength with sufficient vigor in the last years, I believe that before we meet that crisis, that the next president of the United States should send a message to Congress asking for a revitalization of our military strength, because come spring or late in the winter we're going to be face to face with the most serious Berlin crisis since l949 or fifty.","And because we're going to move in sixty - one and two, partly because we have not maintained our strength with effort in the last years, I believe that before we meet that crisis, that the next president of the United States should send a message to Congress asking for a revitalization of our military strength, because come spring or late in the winter we're going to be face to face with the most serious Berlin crisis since l949 or fifty."
"I would like to make a change in the regulation that discriminates against a wife who works and finds that she then is faced with a choice between her father's or her husband's benefits, if he dies first, or what she has paid in; but it does not recognize that she has also been paying in herself, and she is entitled to more than she presently can get.",I would like to change the regulation that discriminates when someone has to make a choice about who to care for in the family.
"And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years.","And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the harmful technologies that Saddam Hussein had developed and used over the years."
I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign.,I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the worst recommendations that he's made during the course of this campaign.
I would say that the issue will stay with us as a campaign issue just as long as Senator Kennedy persists in what I think is a fundamental error.,I would say that the issue will stay with us as a campaign issue just as long as Senator Kennedy persists in what I think is a mistake.
"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",I have seen four wars in my lifetime.
"If somebody came to you, Governor, with a plan that said, here, I want to spend $7 or $8 trillion, and then we're going to pay for it, but we can't tell you until maybe after the election how we're going to do it, you wouldn't take such a sketchy deal and neither should you, the American people, because the math doesn't add up.","If somebody came to you, Governor, with a plan that said, here, I want to spend $7 or $8 trillion, and then we're going to pay for it, but we can't tell you until maybe after the election how we're going to do it, you wouldn't take a vague deal and neither should you, the American people, because the math doesn't add up."
I think we've had a very healthy discussion.,I think we've had a sound discussion.
"And the thought that we would share this with the Soviet Union is, in my opinion, a total non - STARTer.",And sharing this with the Soviet Union is a bad idea.
It means making more progress in civil rights than we have so that we can be a splendid example for all the world to see - a democracy in action at its best.,It means making more progress in civil rights than we have so that we can be a good example for all the world to see - a democracy in action at its best.
He's called them phony and fuzzy.,He's called them wrong and fuzzy.
"Mr. Nixon knows very well that in this - in this whole matter that's been involved with the so - called religious discussion in this campaign, I've never suggested, even by the vaguest implication, that he did anything but disapprove it.","Mr. Nixon knows very well that in this - in this whole matter that's been involved with the so - called religious discussion in this campaign, I've never suggested he did anything but disapprove it."
"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.","So we have to simplify basic health insurance policies, be very comprehensive for everybody."
"In many instances we've made agreements, like in Vietnam, uh - that have uh - been revealed later on to our uh - embarrassment.","In many instances we've made agreements, like in Vietnam, uh - that have uh - been revealed later on to our uh - confusion."
"I think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way, and there's some pretty egregious examples recently.",I think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way.
"He's a brave, brave man.",He's a confident man.
"But it's very important that we not overstep our bounds and I think most people -- most police officers are good, dedicated, honorable citizens who are doing their job, putting their lives at risk who aren't bigoted or aren't prejudiced.",But it's very important that we not overstep our bounds and I think most people -- most police officers are putting their lives at risk who aren't bigoted or aren't prejudiced.
"I never, ever conceived of such a thing. I never said any such thing.",I never said that.
The fact is that the president is driving the largest deficits in American history.,The deficits is growing.
It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.,It is essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the bad times. And it's a fight.
The American people decide.,We're deciding.
I think the major reason for a decrease in participation that we have experienced ever since 1960 has been the deep discouragement of the American people about the performance of public officials.,I think the major reason for a decrease in participation that we have experienced ever since 1960 has been the discouragement of the American people about the performance of public officials.
"But I would leave you with this thought, sir, to be quite specific in my answer to your question: that, of course, to protect the vital interests of this country, if that became impossible; if I could not, despite the very best efforts that I asked the Congress to put forward, to raise those pay and incentives and allowances, of course, I would not leave this country go undefended.","But I would leave you with this thought, sir, to be quite specific in my answer to your question: that, of course, to protect the vital interests of this country, if that became impossible; if I could not, despite the very best efforts that I asked the Congress to put forward, to raise those pay and incentives and allowances, of course, The country would not be undefended."
The only thing consistent about my opponent's position is that he's been inconsistent.,He ad an uncertain attitude.
"And that's why the plan that I've put forward for manufacturing and education, and reducing our deficit in a sensible way, using the savings from ending wars, to rebuild America and putting people back to work.","And that's the plan that I've put forward for manufacturing and education, and reducing our deficit in a sensible way."
I think it's the hard - working people of America's money and I want to share some of that money with you so you have more money to build and save and dream for your families.,I want people have more money for their needs.
"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together.","For 38 years one party has controlled the House of Representatives, and the result, a tiny post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together."
"That, to me, was so hurtful.",I didn't like it.
"This is the most overregulated, overly litigated economy in our nation's history.","This is the most overregulated, overly contested economy in our nation's history."
"I'll just make a quick comment about vouchers in D. C.Senator McCain's absolutely right: The D. C. school system is in terrible shape, and it has been for a very long time.","I'll just make a quick comment about vouchers in D. C.Senator McCain's absolutely right: The D. C. school system is unacceptable, and it has been for a very long time."
"Now, I want to congratulate Mr. Kemp for being a lonely voice in the Republican party over the years on this question. It is -- it is with some sadness that I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action.","Now, I want to congratulate Mr. Kemp. I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action."
"Well, I would say in the latter that the - and that's what I found uh - somewhat unsatisfactory about the figures uh - Mr. Nixon, that you used in your previous speech, when you talked about the Truman Administration.","Well, I would say in the latter that the - and that's what I found uh - in disagree with your numbers uh - Mr. Nixon, that you used in your previous speech, when you talked about the Truman Administration."
"I’ve heard them where Hillary is constantly talking about the inner cities of our country, which are a disaster education - wise, job - wise, safety - wise, in every way possible.","I’ve heard them where Hillary is constantly talking about the inner cities of our country, which are not good from the job, safety and other point of views.. I’m going to help the African - Americans."
And I think I'm more in touch with the mainstream of America. They raised the same thing with me on the Pledge of Allegiance.,It's been raised the same thing with me on the Pledge of Allegiance.
"It's going to be a big, big opportunity for a lot of people.",It's going to be a good opportunity for a lot of people.
"And every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left.","And every day that goes by, the situation is worsening, where there are hundreds of thousands of people, probably about 250,000 still left."
"But for you to say that there was nothing wrong with you deleting 39,000 e - mails, again, you should be ashamed of yourself.","But for you to say that there was nothing wrong with you deleting 39,000 e - mails, again, you should apologize."
"It's ironic that there are now -- there is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever.","There is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever."
OK?Because look at the mess that we're in. Look at the mess that we're in.,OK?Because look at the thing that we're in. Look at the thing that we're in.
"So there are a lot of good things in this bill we should have done instead of trying this massive, massive takeover by the Federal government.",So there are a lot of good things in this bill we should have done instead of trying this takeover by the Federal government.
We have lived through what Jean Kirpatrick called the bloodiest century in mankind's history.,We have lived through what Jean Kirpatrick called the lowest century in mankind's history.
It's an illusion.,It's a fantasy.
"First of all Â I want to make it clear, our military is the strongest, best - trained, best - equipped, best - led fighting force in the world and in the history of the world.","Our military is strong, well-trained, well-equipped, well-led."
I have no intention of wilting. I've never wilted in my life. And I've never wavered in my life.,I have always been determined.
The United States cannot continue to carry the major share of this burden by itself.,It's an important workload.
"I have no quarrel whatsoever with the things that have been done, because I believe it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism; there will be no negotiation with terrorists of any kind.","I have no quarrel whatsoever with the things that have been done, because I believe it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism; there won't be any kind of negotiation ."
"Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.","Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking."
"We need a strong, credible, effective nuclear deterrent.",We need a nuclear deterrent.
We have achieved extraordinary prosperity.,We have achieved a good prosperity.
"In mine, I happen to believe in the people and believe that the people are supposed to be dominant in our society -- that they, not government, are to have control of their own affairs to the greatest extent possible, with an orderly society.","In mine, I happen to believe in an orderly society."
"And the vast majority of all family businesses would be completely exempt, and all of the others would have sharply reduced.","Most of family businesses would be exempt, and all of the others would have slightly reduced."
"I think that one of the problems that we have faced in the world is that we are so much more powerful than any single nation has been in relationship to the rest of the world than at any time in history, that I know about, anyway.",The country has showed its potential.
"And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together.","And if Americans trust me with the presidency, I can pledge to you, we will have do as much as we can, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together."
"When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody—Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year.","When we have a country that's doing so badly, that's being fleeced by every single country in the world, it's the kind of thinking that our country needs, because everybody—Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year."
It is a welfare system that is more like a third - world socialist country than what we would expect from the world's greatest democratic free - enterprise system.,It is a welfare system that is more like a third - world socialist country than what we would expect from a democratic free - enterprise system.
"We are the greatest country on the face of the earth. We do more good things for more people in our communities, our neighborhoods, than anywhere that I know of.",Communities and neighbohoods are always supported.
The 9/11 Commission put out a report that said America is safer but not yet safe.,The 9/11 Commission released a report stating that America still has room for improvement in security.
Every one of these items that I have mentioned he's been wrong - dead wrong.,Every one of these items that I have mentioned he's been completely wrong.
What I think troubles a lot of people in our country is that the president has just sort of described one kind of mistake.,What I think troubles is that the president has just sort of describes one kind of mistake.
My biggest disappointment in Washington is how partisan the town is.,Washington looked very partisan.
He talks about the progress in the field of slum clearance and the like.,He talks about the progress in the field of urban redevelopment and the like.
We've got an aggressive brownfield program to refurbish inner - city sore spots to useful pieces of property.,We've got a powerful program to refurbish inner - city sore spots to useful pieces of property.
"If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races, and then the voters could make up their own mind without being subject to an unfair fight.","If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races, and then the voters could make up their own mind without being subject to a biased dispute."
"This risky scheme that I've described tonight has been said by many objective observers to not add up, it would be a serious risk.","This risky scheme that I've described tonight has been said by many objective observers to not add up, it would be a bad approach."
"It got us into the mess we were in, in 2008 and 2009.","It got us into the issue we were in, in 2008 and 2009."
"You're not going to have the opportunities; there are going to be more deficits, more drugs, more crime, and less confidence in the American people.",You're not going to have the opportunities; there are going to be less confidence in the American people.
"And as a result, the families of some of our young servicemen are on food stamps today.","And as a result, the families of some of our young servicemen have economic problems."
I think it's always a tragic situation.,I think it's always an unfortunate situation.
"Well, I'm really calling for major jobs, because the wealthy are going to create tremendous jobs.","Well, I'm really calling for major jobs, because the wealthy are going to create bad jobs."
The worst thing that I can think can happen in this campaign would be for it to be decided on religious issues.,I think that the worst scenario in this campaign would be for it to be decided on religious issues.
That would obviously be a ridiculous thing for anyone to do who wanted to be president of this country.,That would obviously be an indesirable thing for anyone to do who wanted to be president of this country.
And with our economy in such terrible disarray and getting worse by the month.,And with our economy in such terrible disorder and getting worse by the month.
And the reason it's so difficult for schools to control that is because in recent years there has been a flood of cheap handguns that are so widely available that kids are finding ways to get ahold of them.,And the reason it's so difficult for schools to control that is because in recent years there has been a wave of low-cost guns that are so widely available that kids are finding ways to get ahold of them.
"I don't think there are any villains, but, boy, is the system rotten.",The system is corrupted..
And one of the reasons I was eager to sign on when he asked me to become his running mate is because I've been so tremendously impressed with what he's done as the Governor of Texas.,And one of the reasons I was eager to sign on when he asked me to become his running mate is because I've been so impressed with what he's done as the Governor of Texas.
"Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do.","Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers who you refused to pay when they finished the work that you asked them to do."
"So I'm not exactly sure where the vice president is coming from, but I think one way for us to end up being viewed as the ugly American is for us to go around the world saying, ""we do it this way, so should you.""","So I'm not exactly sure where the vice president is coming from, but I think one way for us to end up being viewed as the bad country is for us to go around the world saying, ""we do it this way, so should you."""
They want them to be able to drink clean water and breathe clean air. They don't want them to live next to toxic waste sites.,They want them to be able to drink clean water and breathe clean air.
"What they're doing to us is a very, very sad thing.",What they're doing to us is a sad thing.
"This is a heartless kind of approach to the working families of our country, which is typical of many Republican leaders of the past, but, I think, has been accentuated under Governor Reagan.","This is a bad approach to the working families of our country, which is typical of many Republican leaders of the past, but, I think, has been accentuated under Governor Reagan."
"I believe the president made a huge mistake, a catastrophic mistake, not to live up to his own standard, which was: build a true global coalition, give the inspectors time to finish their job and go through the U. N. process to its end and go to war as a last resort.","I believe the president made a huge mistake, a considerable mistake, not to live up to his own standard, which was: build a true global coalition, give the inspectors time to finish their job and go through the U. N. process to its end and go to war as a last resort."
"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",It's a human and economic problem.
"You look at the Middle East, it's a total mess.","You look at the Middle East, it's a chaos."
The Muslim ban is something that in some form has morphed into a extreme vetting from certain areas of the world.,The Muslim ban is something that in some form has morphed into a severe check from certain areas of the world.
"The question is for the next president, are we making good judgments about how to keep America safe precisely because sending our military into battle is such an enormous step.","The question is for the next president, are we making good judgments about how to keep America safe precisely because sending our military into battle is an important  step."
"And contrary to what the President says, I think their record on the environment is inexcusable and often shameful.","And contrary to what the President says, I think their record on the environment is inexcusable and often embarassing."
"But for us to do what Senator Kennedy has suggested would bring results which I know he would not want, and certainly which the American people would not want.",But for us to do what Senator Kennedy has suggested would bring results which I know he would not want.
"And I read in the bulletin about teenage pregnancies, about the difficulties that families are having to make ends meet. I talk to parents. I mean, you've got to care. Everybody cares if people aren't doing well.",And I read in the bulletin about many difficuties.
